"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca","height","width","length","category_product_categories",
"93680","1","37","1","","0","01-00541","01-00541","open","1","n","0","0","0","0","n","n","1579570695","2020","01","20","0","0","1675011295","","0","use KV180-018 1613-6921-00 ^AIR/OIL SEPARATOR","77.5","AS","","1","0","0","0","4","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93681","1","37","1","","0","01-0055","01-0055","closed","2","n","0","0","0","0","n","n","1579570700","2020","01","20","0","0","1675031090","","0","02250054-605 ^CARTRIDGE, OIL","80.25","AS","","9","0","0","0","2.5","0","0","0","10","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93682","1","37","1","","0","01-0056","01-0056","open","1","n","0","0","0","0","n","n","1579570704","2020","01","20","0","0","1675037043","","0","C021035018 ^CARTRIDGE, OIL","75.25","OI","","0","0","0","43","0","0","0","0","0","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93683","1","37","1","","0","01-00571","01-00571","closed","2","n","0","0","0","0","n","n","1579570708","2020","01","20","0","0","1673926613","","0","01-00571","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93684","1","37","1","","0","01-00581","01-00581","closed","2","n","0","0","0","0","n","n","1579570713","2020","01","20","0","0","1675041355","","0","4ZK02 ^AIR/OIL SEPARATOR use kv60-037p","64.75","AS","","20","0","0","0","2.5","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93685","1","37","1","","0","01-0059","01-0059","open","1","n","0","0","0","0","n","n","1579570717","2020","01","20","0","0","1675013878","","0","use KL240-039 23935059 ^ELEMENT, OIL","86.75","OI","","73","0","0","0","0","0","0","0","20","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93686","1","37","1","","0","01-00591","01-00591","open","1","n","0","0","0","0","n","n","1579570721","2020","01","20","0","0","1674415573","","0","561371 ^AIR/OIL SEPARATOR","87.5","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93687","1","37","1","","0","01-00601","01-00601","open","1","n","0","0","0","0","n","n","1579570726","2020","01","20","0","0","1675015305","","0","CEGD66 ^AIR/OIL SEPARATOR","65.25","AS","","0","0","0","0","5","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93688","1","37","1","","0","01-00603","01-00603","closed","2","n","0","0","0","0","n","n","1579570730","2020","01","20","0","0","1673926613","","0","01-00603","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93689","1","37","1","","0","01-00611","01-00611","open","1","n","0","0","0","0","n","n","1579570734","2020","01","20","0","0","1675024338","","0","92522135 ^AIR/OIL SEPARATOR","66.5","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93690","1","37","1","","0","01-00612","01-00612","open","1","n","0","0","0","0","n","n","1579570738","2020","01","20","0","0","1675034779","","0","54517776 ^AIR/OIL SEPARATOR","113","AS","","0","0","0","0","4","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93691","1","37","1","","0","01-00613","01-00613","closed","2","n","0","0","0","0","n","n","1579570743","2020","01","20","0","0","1673926613","","0","01-00613","0","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","0","0","0","","","","",
"93692","1","37","1","","0","01-0062","01-0062","open","1","n","0","0","0","0","n","n","1579570747","2020","01","20","0","0","1675183738","","0","2023400100 ^CARTRIDGE, OIL","10.5","OI","","134","12","0","212","1.5","0","0","0","20","0","EACH","0","","","522","0","0","0","0","0","","1676696400","","0.0000","0.0000","0.0000","",
"93693","1","37","1","","0","01-00621","01-00621","open","1","n","0","0","0","0","n","n","1579570752","2020","01","20","0","0","1675028767","","0","CEL57P ^AIR/OIL SEPARATOR","63","AS","","33","0","0","0","5","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
"93694","1","37","1","","0","01-00622","01-00622","open","1","n","0","0","0","0","n","n","1579570756","2020","01","20","0","0","1675053839","","0","561008 ^AIR/OIL SEPARATOR","73","AS","","0","0","0","0","0","0","0","0","25","0","EACH","0","","","0","0","0","0","0","0","","","","0.0000","0.0000","0.0000","",
